file,method,metric,origin,detection_time,error,threshold
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,5992,6016,7.000765475175967,6.647187897034085
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,6232,6256,9.506693127676462,9.099685320476018
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,6592,6616,17.72337128490574,12.71642572468
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,7264,7288,17.31688909884271,12.769980859534783
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,7504,7528,11.407227602367527,9.342770736168816
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,7792,7816,18.001490556534545,10.719324323290095
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,8032,8056,16.38928473145735,14.97014505259971
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,9712,9736,12.076534796885477,10.60842087199958
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,10096,10120,12.546015693911315,11.391359254277805
linear_linear1_ar4_abrupt_13.csv,Chronos-Bolt Base + error detector,mae,11464,11488,12.253972812315927,11.967419095971897
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,2128,2152,5.3533858511511925,4.770001050106446
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,2488,2512,4.271770323748286,4.202620273990418
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,3040,3064,6.665969311281397,4.351229459866511
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,4768,4792,7.386774140647124,7.009006300408493
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,5584,5608,6.515661958338758,5.881573254376707
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,6040,6064,11.003941337417814,7.415351462741226
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,6376,6400,20.855073577138345,6.4771798117358905
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,6616,6640,19.294305206181665,15.085936463922225
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,7240,7264,18.43209066779065,16.220750931743865
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,7552,7576,11.277967561980256,11.037877013054777
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,8440,8464,16.65226723150455,16.171284625780345
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,9712,9736,17.915366990498146,17.69953838560877
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,10600,10624,16.8503371797872,14.603123564016004
linear_linear1_ar4_abrupt_14.csv,Chronos-Bolt Base + error detector,mae,11944,11968,18.41129967818274,15.480850332764323
linear_linear1_ar4_abrupt_15.csv,Chronos-Bolt Base + error detector,mae,1984,2008,4.965333326323653,4.09665898346315
linear_linear1_ar4_abrupt_15.csv,Chronos-Bolt Base + error detector,mae,2992,3016,6.997933935428848,5.4419330703632625
linear_linear1_ar4_abrupt_15.csv,Chronos-Bolt Base + error detector,mae,4480,4504,7.21585591654765,6.135345964198094
