file,method,erro_pre_drift,recovery_time
linear_linear2_ar6_abrupt_04.csv,Chronos-Bolt Base,7.2851377621014635,64.0
linear_linear2_ar6_abrupt_04.csv,FEDD+ELM,436.1576850768856,16.0
linear_linear2_ar6_abrupt_05.csv,Chronos-Bolt Base,7.058394448358787,16.0
linear_linear2_ar6_abrupt_05.csv,FEDD+ELM,400.061202445258,16.0
linear_linear2_ar6_abrupt_06.csv,Chronos-Bolt Base,6.341777715746029,40.0
linear_linear2_ar6_abrupt_06.csv,FEDD+ELM,683.1437046535216,16.0
linear_linear2_ar6_abrupt_07.csv,Chronos-Bolt Base,7.732306835046723,16.0
linear_linear2_ar6_abrupt_07.csv,FEDD+ELM,679.3642390620223,16.0
linear_linear2_ar6_abrupt_08.csv,Chronos-Bolt Base,7.269437687487531,40.0
linear_linear2_ar6_abrupt_08.csv,FEDD+ELM,506.5538595722236,16.0
linear_linear2_ar6_abrupt_09.csv,Chronos-Bolt Base,6.421447873765342,16.0
linear_linear2_ar6_abrupt_09.csv,FEDD+ELM,1570.3158148326115,16.0
linear_linear2_ar6_abrupt_10.csv,Chronos-Bolt Base,8.121012677079388,112.0
linear_linear2_ar6_abrupt_10.csv,FEDD+ELM,543.8603357228441,16.0
linear_linear2_ar6_abrupt_11.csv,Chronos-Bolt Base,7.403555769662298,40.0
linear_linear2_ar6_abrupt_11.csv,FEDD+ELM,354.6585914976421,16.0
linear_linear2_ar6_abrupt_12.csv,Chronos-Bolt Base,7.00520860607148,16.0
linear_linear2_ar6_abrupt_12.csv,FEDD+ELM,288.524974089789,16.0
linear_linear2_ar6_abrupt_13.csv,Chronos-Bolt Base,7.1752678816056985,16.0
linear_linear2_ar6_abrupt_13.csv,FEDD+ELM,725.247312783635,16.0
linear_linear2_ar6_abrupt_14.csv,Chronos-Bolt Base,7.302707042083307,64.0
linear_linear2_ar6_abrupt_14.csv,FEDD+ELM,309.4210245671428,16.0
linear_linear2_ar6_abrupt_15.csv,Chronos-Bolt Base,6.7744139995197274,16.0
linear_linear2_ar6_abrupt_15.csv,FEDD+ELM,296.92571489446135,16.0
linear_linear2_ar6_abrupt_16.csv,Chronos-Bolt Base,6.929710885427309,64.0
linear_linear2_ar6_abrupt_16.csv,FEDD+ELM,336.10130986058454,232.0
linear_linear2_ar6_abrupt_17.csv,Chronos-Bolt Base,7.483808706118845,16.0
linear_linear2_ar6_abrupt_17.csv,FEDD+ELM,126.79382190088212,16.0
linear_linear2_ar6_abrupt_18.csv,Chronos-Bolt Base,7.483478665931753,16.0
linear_linear2_ar6_abrupt_18.csv,FEDD+ELM,407.07733856426256,16.0
linear_linear2_ar6_abrupt_19.csv,Chronos-Bolt Base,7.984652926826787,16.0
linear_linear2_ar6_abrupt_19.csv,FEDD+ELM,243.8980359381146,520.0
linear_linear2_ar6_abrupt_20.csv,Chronos-Bolt Base,6.732620555775826,16.0
linear_linear2_ar6_abrupt_20.csv,FEDD+ELM,307.63887917924524,808.0
linear_linear2_ar6_gradual_01.csv,Chronos-Bolt Base,8.751487335054872,16.0
linear_linear2_ar6_gradual_01.csv,FEDD+ELM,1923.2530809993366,232.0
linear_linear2_ar6_gradual_02.csv,Chronos-Bolt Base,8.161201054681298,16.0
linear_linear2_ar6_gradual_02.csv,FEDD+ELM,1536.592427609677,16.0
linear_linear2_ar6_gradual_03.csv,Chronos-Bolt Base,7.416134715731335,40.0
linear_linear2_ar6_gradual_03.csv,FEDD+ELM,165.18970395308733,808.0
linear_linear2_ar6_gradual_04.csv,Chronos-Bolt Base,6.334316786832152,16.0
linear_linear2_ar6_gradual_04.csv,FEDD+ELM,788.1349536019297,64.0
linear_linear2_ar6_gradual_05.csv,Chronos-Bolt Base,7.269049854939992,16.0
linear_linear2_ar6_gradual_05.csv,FEDD+ELM,375.40605536962954,232.0
linear_linear2_ar6_gradual_06.csv,Chronos-Bolt Base,8.109386194208048,16.0
linear_linear2_ar6_gradual_06.csv,FEDD+ELM,265.03410489546883,208.0
linear_linear2_ar6_gradual_07.csv,Chronos-Bolt Base,8.389686277091922,16.0
linear_linear2_ar6_gradual_07.csv,FEDD+ELM,457.13609665618213,376.0
linear_linear2_ar6_gradual_08.csv,Chronos-Bolt Base,6.817661414361246,16.0
linear_linear2_ar6_gradual_08.csv,FEDD+ELM,257.8091783488026,16.0
linear_linear2_ar6_gradual_09.csv,Chronos-Bolt Base,6.513087774075972,16.0
linear_linear2_ar6_gradual_09.csv,FEDD+ELM,873.2128989135086,16.0
linear_linear2_ar6_gradual_10.csv,Chronos-Bolt Base,6.779794585873575,16.0
linear_linear2_ar6_gradual_10.csv,FEDD+ELM,588.5341998579174,16.0
linear_linear2_ar6_gradual_11.csv,Chronos-Bolt Base,7.574384604885428,16.0
linear_linear2_ar6_gradual_11.csv,FEDD+ELM,148.52635383891243,16.0
linear_linear2_ar6_gradual_12.csv,Chronos-Bolt Base,6.199089293099164,16.0
linear_linear2_ar6_gradual_12.csv,FEDD+ELM,336.177793755682,16.0
linear_linear2_ar6_gradual_13.csv,Chronos-Bolt Base,7.522611052250676,16.0
linear_linear2_ar6_gradual_13.csv,FEDD+ELM,410.48517487077186,16.0
linear_linear2_ar6_gradual_14.csv,Chronos-Bolt Base,8.461540604889771,16.0
linear_linear2_ar6_gradual_14.csv,FEDD+ELM,676.9294787751197,160.0
linear_linear2_ar6_gradual_15.csv,Chronos-Bolt Base,6.8955445423801125,16.0
linear_linear2_ar6_gradual_15.csv,FEDD+ELM,260.1429243344053,88.0
linear_linear2_ar6_gradual_16.csv,Chronos-Bolt Base,7.092119594475897,16.0
linear_linear2_ar6_gradual_16.csv,FEDD+ELM,966.4185069623792,16.0
linear_linear2_ar6_gradual_17.csv,Chronos-Bolt Base,7.817898702530851,16.0
linear_linear2_ar6_gradual_17.csv,FEDD+ELM,1009.084343756952,160.0
linear_linear2_ar6_gradual_18.csv,Chronos-Bolt Base,7.422102225245872,16.0
linear_linear2_ar6_gradual_18.csv,FEDD+ELM,364.6038413588256,16.0
linear_linear2_ar6_gradual_19.csv,Chronos-Bolt Base,6.564044617012433,16.0
linear_linear2_ar6_gradual_19.csv,FEDD+ELM,850.8140926956437,16.0
linear_linear2_ar6_gradual_20.csv,Chronos-Bolt Base,6.582136118754079,16.0
linear_linear2_ar6_gradual_20.csv,FEDD+ELM,1151.0228585401264,16.0
linear_linear3_arp_abrupt_01.csv,Chronos-Bolt Base,0.030565538772140237,
linear_linear3_arp_abrupt_01.csv,FEDD+ELM,752624.4500446016,16.0
linear_linear3_arp_abrupt_02.csv,Chronos-Bolt Base,0.014063432139087199,
linear_linear3_arp_abrupt_02.csv,FEDD+ELM,1035858.967912825,16.0
linear_linear3_arp_abrupt_03.csv,Chronos-Bolt Base,0.023993989414434296,
linear_linear3_arp_abrupt_03.csv,FEDD+ELM,744997.4910831631,16.0
linear_linear3_arp_abrupt_04.csv,Chronos-Bolt Base,0.017344796966282293,
linear_linear3_arp_abrupt_04.csv,FEDD+ELM,859397.4440587955,16.0
linear_linear3_arp_abrupt_05.csv,Chronos-Bolt Base,0.043896465598490544,
linear_linear3_arp_abrupt_05.csv,FEDD+ELM,1894876.8059582561,16.0
linear_linear3_arp_abrupt_06.csv,Chronos-Bolt Base,0.021083662628082072,
linear_linear3_arp_abrupt_06.csv,FEDD+ELM,2066359.3916210877,16.0
linear_linear3_arp_abrupt_07.csv,Chronos-Bolt Base,0.0670954436620435,
linear_linear3_arp_abrupt_07.csv,FEDD+ELM,846740.763716183,16.0
linear_linear3_arp_abrupt_08.csv,Chronos-Bolt Base,0.006787321465896047,
linear_linear3_arp_abrupt_08.csv,FEDD+ELM,605412.1270739323,16.0
linear_linear3_arp_abrupt_09.csv,Chronos-Bolt Base,0.0016240011509147559,
linear_linear3_arp_abrupt_09.csv,FEDD+ELM,2411315.1181721264,16.0
linear_linear3_arp_abrupt_10.csv,Chronos-Bolt Base,0.005925188567267641,
linear_linear3_arp_abrupt_10.csv,FEDD+ELM,4034908.2359794555,16.0
linear_linear3_arp_abrupt_11.csv,Chronos-Bolt Base,0.0205016916948403,
linear_linear3_arp_abrupt_11.csv,FEDD+ELM,3408618.924089562,16.0
linear_linear3_arp_abrupt_12.csv,Chronos-Bolt Base,0.0134562581919858,
linear_linear3_arp_abrupt_12.csv,FEDD+ELM,1517470.89823144,16.0
linear_linear3_arp_abrupt_13.csv,Chronos-Bolt Base,0.02418848102382663,
linear_linear3_arp_abrupt_13.csv,FEDD+ELM,760975.72379757,16.0
linear_linear3_arp_abrupt_14.csv,Chronos-Bolt Base,0.012177705127431266,
linear_linear3_arp_abrupt_14.csv,FEDD+ELM,3195097.767761403,16.0
linear_linear3_arp_abrupt_15.csv,Chronos-Bolt Base,0.04091927667208698,
linear_linear3_arp_abrupt_15.csv,FEDD+ELM,873349.9689794236,16.0
linear_linear3_arp_abrupt_16.csv,Chronos-Bolt Base,0.006340615657026074,
linear_linear3_arp_abrupt_16.csv,FEDD+ELM,1279163.0918524154,16.0
linear_linear3_arp_abrupt_17.csv,Chronos-Bolt Base,0.004080347790896046,
linear_linear3_arp_abrupt_17.csv,FEDD+ELM,3760210.128134206,16.0
linear_linear3_arp_abrupt_18.csv,Chronos-Bolt Base,0.0159607699655074,
linear_linear3_arp_abrupt_18.csv,FEDD+ELM,932398.985886082,16.0
linear_linear3_arp_abrupt_19.csv,Chronos-Bolt Base,0.045414626840601345,
linear_linear3_arp_abrupt_19.csv,FEDD+ELM,564716.4854769548,16.0
linear_linear3_arp_abrupt_20.csv,Chronos-Bolt Base,0.024638812850522326,
linear_linear3_arp_abrupt_20.csv,FEDD+ELM,918456.6267734874,16.0
linear_linear3_arp_gradual_01.csv,Chronos-Bolt Base,0.0,16.0
linear_linear3_arp_gradual_01.csv,FEDD+ELM,13846613.107765967,16.0
linear_linear3_arp_gradual_02.csv,Chronos-Bolt Base,0.0,16.0
